state,name,city,ownership,admissionCapacity,hospitalBeds
Telangana,"Shadan Institute of Medical Sciences,Research Centre and Teaching Hospital, Peerancheru
",Peerancheru,Society,150,750
Delhi,"All India Institute of Medical Sciences, New Delhi",New Delhi,Govt.,50,2362
Delhi,"Army College of Medical Sciences, New Delhi",New Delhi,Trust,100,999
Delhi,"Baba Saheb Ambedkar Medical College, Rohini, Delhi",Delhi,Govt.,100,0
Delhi,"Hamdard Institute of Medical Sciences & Research, New Delhi",New Delhi,Society,0,350
Delhi,"Lady Hardinge Medical College, New Delhi",New Delhi,Govt.,200,877
Delhi,"Maulana Azad Medical College, New Delhi",New Delhi,Govt.,250,1500
Delhi,"North Delhi Muncipal Corporation Medical College, Delhi",New Delhi,Govt.,50,980
Delhi,"University College of Medical Sciences & GTB Hospital, New Delhi",New Delhi,Govt.,150,872
Delhi,"Vardhman Institute of Medical Sciences, Pawapuri, Nalanda",New Delhi,Govt.,150,1531
Gujarat,"Gujarat Adani Institute of Medical Sciences, Bhuj",Bhuj,Trust,150,645
Gujarat,"Medical College, Baroda",Baroda,Govt.,180,1513
Gujarat,"MP Shah Medical College,Jamnagar",Jamnagar,Govt.,200,1263
Gujarat,"Pandit Deendayal Upadhyay Medical College, Rajkot",Rajkot,Govt.,150,850
Gujarat,"Parul Institute of Medical Sciences & Research, Vadodara",Vadodara,Private,150,550
Gujarat,"Pramukhswami Medical College, Karmsad",Karmsad,Trust,150,550
Gujarat,"SBKS Medical Inst. & Research Centre, Vadodra",Vadodra,Trust,150,1120
Gujarat,"Smt. N.H.L.Municipal Medical College, Ahmedabad",Ahmedabad,Govt.,250,1600
Gujarat,"Surat Municipal Institute of Medical Education & Research, Surat",Surat,Govt.,150,750
Gujarat,"Ahmedabad Municipal Cop. Med. Edu. Trust Med. College, Ahmedabad",Ahmedabad,Govt.,150,300
Gujarat,"B J Medical College, Ahmedabad",Ahmedabad,Govt.,250,2000
Gujarat,"CU Shah Medical College, Surendra Nagar",Surendra Nagar,Trust,100,570
Gujarat,"Dr M.K. Saha Medical College and Research Centre, Ahmedabad",Ahmedabad,Trust,150,0
Gujarat,"GCS Medical College, Ahmedabad",Ahmedabad,Trust,150,425
Gujarat,"GMERS Medical College, Dharpur Patan",Dharpur Patan,Govt-Society,150,300
Gujarat,"GMERS Medical College, Gandhinagar",Gandhinagar,Govt-Society,150,300
Gujarat,"GMERS Medical College, Gotri, Vadodara",Vadodara,Govt-Society,150,415
Gujarat,"GMERS Medical College,Hadiyol, Himmatnagar",Himmatnagar,Govt-Society,150,300
Gujarat,"GMERS Medical College, Junagadh",Junagadh,Govt-Society,150,450
Gujarat,"GMERS Medical College, Sola, Ahmedabad",Ahmedabad,Govt-Society,150,415
Gujarat,"GMERS Medical CollegeVadnagar, Mehsana",Mehsana,Govt-Society,150,0
Gujarat,"GMERS Medical College, Valsad",Valsad,Govt-Society,150,300
Gujarat,"Government Medical College, Bhavnagar",Bhavnagar,Govt.,150,709
Gujarat,"Government Medical College, Surat",Surat,Govt.,150,1050
Gujarat,"Ahmedabad Municipal Cop. Med. Edu. Trust Med. College, Ahmedabad",Ahmedabad,Govt.,150,300
Gujarat,"B J Medical College, Ahmedabad",Ahmedabad,Govt.,250,2000
Gujarat,"CU Shah Medical College, Surendra Nagar",Surendra Nagar,Trust,100,570
Gujarat,"Dr M.K. Saha Medical College and Research Centre, Ahmedabad",Ahmedabad,Trust,150,0
Gujarat,"GCS Medical College, Ahmedabad",Ahmedabad,Trust,150,425
Gujarat,"GMERS Medical College, Dharpur Patan",Dharpur Patan,Govt-Society,150,300
Gujarat,"GMERS Medical College, Gandhinagar",Gandhinagar,Govt-Society,150,300
Gujarat,"GMERS Medical College, Gotri, Vadodara",Vadodara,Govt-Society,150,415
Gujarat,"GMERS Medical College,Hadiyol, Himmatnagar",Himmatnagar,Govt-Society,150,300
Gujarat,"GMERS Medical College, Junagadh",Junagadh,Govt-Society,150,450
Gujarat,"GMERS Medical College, Sola, Ahmedabad",Ahmedabad,Govt-Society,150,415
Gujarat,"GMERS Medical CollegeVadnagar, Mehsana",Mehsana,Govt-Society,150,0
Gujarat,"GMERS Medical College, Valsad",Valsad,Govt-Society,150,300
Gujarat,"Government Medical College, Bhavnagar",Bhavnagar,Govt.,150,709
Gujarat,"Government Medical College, Surat",Surat,Govt.,150,1050
Gujarat,"Gujarat Adani Institute of Medical Sciences, Bhuj",Bhuj,Govt.,150,645
Gujarat,"Medical College, Baroda",Baroda,Govt.,180,1513
Gujarat,"MP Shah Medical College,Jamnagar",Jamnagar,Govt.,200,1263
Gujarat,"Pandit Deendayal Upadhyay Medical College, Rajkot",Rajkot,Private,150,850
Gujarat,"Parul Institute of Medical Sciences & Research, Vadodara",Vadodara,Trust,150,550
Gujarat,"Pramukhswami Medical College, Karmsad",Karmsad,Trust,150,550
Gujarat,"SBKS Medical Inst. & Research Centre, Vadodra",Vadodra,Govt.,150,1120
Gujarat,"Smt. N.H.L.Municipal Medical College, Ahmedabad",Ahmedabad,Govt.,250,1600
Gujarat,"Surat Municipal Institute of Medical Education & Research, Surat",Surat,,150,750
Kerala,"Academy of Medical Sciences,Pariyaram, Kannur",Kannur,Trust,100,1200
Kerala,"Al-Azhar Medical College and Super Speciality Hospital, Thodupuzha",Thodupuzha,Trust,0,380
Kerala,"Amala Institute of Medical Sciences, Thrissur",Thrissur,Trust,100,570
Kerala,"Amrita School of Medicine, Elamkara, Kochi",Kochi,Trust,100,1250
Kerala,"Azeezia Instt of Medical Science,Meeyannoor,Kollam",Kollam,Trust,100,500
Kerala,"Belivers Church Medical College Hospital, Thiruvalla",Thiruvalla,Trust,100,0
Kerala,"DM Wayanad Institute of Medical Sciences, Wayanad, Kerala",Wayanad,Trust,0,0
Kerala,"Dr. Somervel Memorial CSI Hospital & Medical College, Karakonam, Thiruvananthapuram",Thiruvananthapuram,Trust,150,550
Kerala,"Government Medical College, Ernakulam",Ernakulam,Govt,100,0
Kerala,"Government Medical College, Kottayam",Kottayam,Govt.,150,910
Kerala,"Government Medical College, Kozhikode, Calicut",Calicut,Govt.,250,3080
Kerala,"Government Medical College, Manjeri, Malapuram Dist.",Malapuram,Govt.,100,501
Kerala,"Government Medical College, Painav, Idukki",Idukki,Govt.,0,300
Kerala,"Government Medical College, Parippally, Kollam",Kollam,Govt.,100,0
Kerala,"Government Medical College, Thrissur",Thrissur,Govt.,150,2350
Kerala,"Govt Medical College, Yakkara, Palakkad",Palakkad,Govt.,100,750
Kerala,"Jubilee Mission Medical College & Research Institute, Thrissur",Thrissur,Trust,100,1620
Kerala,"Kannur Medical College, Kannur",Kannur,Trust,100,750
Kerala,"Karuna Medical College, Palakkad",Palakkad,Trust,100,500
Kerala,"Kerala Medical College, Mangode, Palakkad",Palakkad,Trust,0,0
Kerala,"KMCT Medical College,Kozhikode, Calicut",Calicut,Trust,150,500
Kerala,"M E S Medical College , Perintalmanna Malappuram Distt.Kerala",Malappuram,Trust,100,630
Kerala,"Malabar Medical College, Kozhikode,Calicut",Calicut,Trust,150,415
Kerala,"Malankara Orthodox Syrian Church Medical College, Kolenchery",Kolenchery,Trust,100,1200
Kerala,"Medical College, Thiruvananthapuram",Thiruvananthapuram,Govt.,200,0
Kerala,"Mount Zion Medical College, Chayalode, Ezhamkulam Adoor, Pathanamthitta",Pathanamthitta,Society,0,0
Kerala,"P K Das Institute of Medical Sciences, Palakkad, Kerala","Palakkad,",Trust,150,0
Kerala,"Pushpagiri Institute Of Medical Sciences and Research Centre, Tiruvalla",Tiruvalla,Trust,100,1200
Kerala,"S.R. Medical College & Research Centre, Akathumjuri, Vennicode, Varkala, Thiruvananthapuram",Thiruvananthapuram,Trust,0,0
Kerala,"Sree Narayana Instt. of Medical Sciences, Chalakka,Ernakulam",Ernakulam,Trust,100,500
Kerala,"Sree Uthradom Thiurnal Academy of Medical Sciences,Trivandrum",Trivandrum,Trust,100,500
Kerala,"Sri Gokulam Medical College Trust & Research Foundation, Trivandrum",Trivandrum,Trust,150,600
Kerala,"T D Medical College, Alleppey (Allappuzha)",Alleppey,Govt.,150,1051
Kerala,"Travancore Medical College, Kollam",Kollam,Trust,100,500
Madhya Pradesh,"Advance Institute of Medical Sciences and Research Centre, Bhopal",Bhopal,Society,0,0
Madhya Pradesh,"All India Institute of Medical Sciences, Bhopal",Bhopal,Govt.,100,0
Madhya Pradesh,"Amaltas Institute of Medical Sciences, Dewas",Dewas,Society,150,300
Madhya Pradesh,"Bundelkhand Medical College, Sagar",Sagar,Govt.,100,650
Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal",Bhopal,Trust,150,1000
Madhya Pradesh,"Gajra Raja Medical College, Gwalior",Gwalior,Govt.,150,1100
Madhya Pradesh,"Gandhi Medical College, Bhopal",Bhopal,Govt.,150,1200
Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore",Indore,Trust,150,1100
Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal",Bhopal,Trust,150,750
Madhya Pradesh,"M G M Medical College, Indore",Indore,Govt.,150,1500
Madhya Pradesh,"Modern Institute of Medical Sciences, Kanadia, Indore",Indore,Society,0,300
Madhya Pradesh,"Netaji Subhash Chandra Bose Medical College, Jabalpur",Jabalpur,Govt.,150,819
Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal",Bhopal,Trust,150,650
Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Bhopal,Society,150,320
Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",Ujjain,Trust,150,585
Madhya Pradesh,"Sakshi Medical College & Research Centre, Guna",Guna,Society,0,300
Madhya Pradesh,"Shyam Shah Medical College, Rewa",Rewa,Govt.,100,1150
Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Indore,Trust,150,1140
Madhya Pradesh,"Sukh Sagar Medical College and Hospital, Jabalpur",Jabalpur,Trust,0,300
Uttarakhand,"All India Institute of Medical Sciences, Rishikesh",Rishikesh,Govt,100,0
Uttarakhand,"Doon Medical College, Dehradun Dehradun",Dehradun,Govt,150,300
Uttarakhand,Government Medical College (Prev.Uttarakhand Forest Hospital Trust,Haldwani,Govt,100,600
Uttarakhand,"Himalayan Institute of Medical Sciences, Dehradun",Dehradun,Trust,150,750
Uttarakhand,"Shri Guru Ram Rai Institute of Medical & Health Sciences, Dehradun",Dehradun,Society,150,1000
Uttarakhand,"Sridev Suman Subharti Medical College, Dehradun",Dehradun,Trust,150,350
Uttarakhand,"Veer Chandra Singh Garhwali Govt. Medical Sc. & Research Instt, Srinagar, Pauri Garhwal",Srinagar,Govt.,150,300
Bihar,"All India Institute of Medical Sciences Patna, Bihar",Patna,Govt,100,0
Bihar,"Anugrah Narayan Magadh Medical College, Gaya",Gaya,Govt.,100,544
Bihar,"Darbhanga Medical College, Lehriasarai",Lehriasarai,Govt.,100,1030
Bihar,"Government Medical College, Bettiah",Bettiah,Govt.,100,315
Bihar,"Indira Gandhi Institute of Medical Sciences,Sheikhpura Patna",Patna,Govt.,100,500
Bihar,"Jawaharlal Nehru Medical College, Bhagalpur",Bhagalpur,Govt.,100,659
Bihar,"Katihar Medical College, Katihar",Katihar,Trust,100,580
Bihar,"Mata Gujri Memorial Medical College, Kishanganj Kishanganj Trust 100 NA",Kishanganj,Trust,100,0
Bihar,"Nalanda Medical College, Patna",Patna,Govt.,100,752
Bihar,"Narayan Medical College & Hospital, Sasaram",Sasaram,Trust,100,500
Bihar,"Patna Medical College, Patna",Patna,Govt.,150,1675
Bihar,"Shri Krishna Medical College, Muzzafarpur Muzzafarpur Govt. 100 612",Muzzafarpur,Govt.,100,612
Bihar,"Vardhman Institute of Medical Sciences, Pawapuri, Nalanda Nalanda Govt.",Nalanda,Govt.,100,0
Uttar Pradesh,"BRD Medical College, Gorakhpur",Gorakhpur,Govt.,100,900
Uttar Pradesh,"Career Instt. Of Medical Sciences & Hospital, Lucknow",Lucknow,Trust,100,400
Uttar Pradesh,"Dr. Ram Manohar Lohia Institute of Medical Sciences, Lucknow",Lucknow,Govt,150,0
Uttar Pradesh,"Era Lucknow Medical College , Lucknow",Lucknow,Trust,150,700
Uttar Pradesh,"F.H. Medical College & Hospital, Firozabad",Firozabad,Trust,150,350
Uttar Pradesh,"G.C.R.G. Institute of Medical Sciences, Lucknow",Lucknow,Trust,0,300
Uttar Pradesh,"G.S. Medical College, & Hospital, Hapur",Hapur,Trust,150,0
Uttar Pradesh,"Glocal Medical College, Super Specility Hospital & Research Centre,",Saharanpur,Trust,0,300
Uttar Pradesh,"Government Allopathic Medical College, Banda, UP",Banda,Govt.,100,0
Uttar Pradesh,"Government Medical College & Super facility Hospital, Azamgarh",Azamgarh,Govt.,100,140
Uttar Pradesh,"Government Medical College, Kannauj",Kannauj,Govt.,100,300
Uttar Pradesh,"GSVM Medial College, Kanpur",Kanpur,Govt.,190,1825
Uttar Pradesh,"Heritage Institute of Medical Sciences, Varanasi",Varanasi,Private,150,300
Uttar Pradesh,"Hind Institute of Medical Sciences , Barabanki",Barabanki,Trust,100,350
Uttar Pradesh,"Hind Institute of Medical Sciences, Sitapur.",Sitapur,Trust,0,300
Uttar Pradesh,"Institute of Medical Sciences, BHU, Varanasi",Varanasi,Govt.,84,1200
Uttar Pradesh,"Integral Institute of Medical Sciences & Research, Lucknow",Lucknow,Private,100,350
Uttar Pradesh,"Jawaharlal Nehru Medical College, Aligarh",Aligarh,Govt.,150,1250
Uttar Pradesh,"K.D.Medical college & Research Centre, Mathura",Mathura,Society,150,300
Uttar Pradesh,"King George Medical University, Lucknow",Lucknow,Govt,250,1250
Uttar Pradesh,"Krishna Mohan Medical College & Hospital, Mathura.",Mathura,Society,0,300
Uttar Pradesh,"LLRM Medical College, Merrut",Merrut,Govt.,150,1040
Uttar Pradesh,"Mahamaya Rajkiya Allopathic Medical College, Ambedkarnagar",Ambedkarnagar,Govt.,100,450
Uttar Pradesh,"Maharani Laxmi Bai Medical College, Jhansi",Jhansi,Govt.,100,700
Uttar Pradesh,"Major S D Singh Medical College and Hospital, Fathehgarh, Farrukhabad",Farrukhabad,Trust,0,350
Uttar Pradesh,Manyavar Kanshi Ram Ji Government Allopathic Medical College,Kanpur,Govt.,100,300
Uttar Pradesh,"Mayo Institute of Medical Sciences, Barabanki",Barabanki,Trust,150,300
Uttar Pradesh,"Moti Lal Nehru Medical College, Allahabad",Allahabad,Govt.,150,850
Uttar Pradesh,"Muzaffarnagar Medical College, Muzaffarnagar",Muzaffarnagar,Trust,150,500
Uttar Pradesh,"Prasad Institute of Medical Sciences, Lucknow",Lucknow,Trust,0,350
Uttar Pradesh,"Rajshree Medical Research Institute, Bareilly",Bareilly,Trust,150,300
Uttar Pradesh,"Rama Medical College and Hospital , Kanpur",Kanpur,Trust,100,693
Uttar Pradesh,"Rama Medical College Hospital and Research Centre, Hapur",Hapur,Trust,150,600
Uttar Pradesh,Rohilkhand Medical College & Hospital,Bareilly,Trust,150,600
Uttar Pradesh,S N Medical College,Agra,Govt,150,1047
Uttar Pradesh,Santosh Medical College,Ghaziabad,Trust,100,700
Uttar Pradesh, Saraswati Institute of Medical Sciences,Hapur,Trust,100,500
Uttar Pradesh,Saraswati Institute of Medical Sciences,Unnao,Trust,150,320
Uttar Pradesh,Greater Noida Greater Noida Trust 150 500,Greater Noida,Trust,150,500
Uttar Pradesh,Shaikh-UL-Hind Maulana Mahmood Hasan Medical College,Saharanpur,Govt,100,650
Uttar Pradesh,Shri Ram Murti Smarak Institute of Medical Sciences,Bareilly,Trust,100,650
Uttar Pradesh,Subharti Medical College,Meerut,Trust,100,800
Uttar Pradesh,T.S Mishra Medical College & Hospital,Lucknow Lucknow Private 150 300,Private,150,300
Uttar Pradesh,Teerthanker Mahaveer Medical College,Moradabad,Trust,150,550
Uttar Pradesh,U.P. Rural Institute of Medical Sciences & Research,Etawah,Govt.,150,750
Uttar Pradesh,Varun Arjun Medical College,Sahajahanpur Sahajahanpur Trust 0 300,Trust,0,300
Uttar Pradesh,Venkateshwara Institute of Medical Sciences,Gajarula,Trust,0,300
West Bengal,"West Bengal Bankura Sammilani Medical College, Bankura Bankura Govt. 150 1217",Bankura,Govt,150,1217
West Bengal,"Burdwan Medical College, Burdwan",Burdwan,Govt,150,1105
West Bengal,"Calcutta National Medical College, Kolkata",Kolkata,Govt,200,1470
West Bengal,"College of Medicine and JNM Hospital,Kalyani,Nadia",Nadia,Govt,100,0
West Bengal,"College of Medicine and Sagore Dutta Hospital, Kolkata",Kolkata,Govt,100,900
West Bengal,"Employees State Insurance Corporation Medical College, Joka, Kolkata",Kolkata,Govt,100,550
West Bengal,"Gauri Devi Institute of Medical Sciences and Hospital, Durgapur",Durgapur,Govt,0,0
West Bengal,"ICARE Institute of Med. Sciences & Research, Haldia",Haldia,Trust,0,0
West Bengal,"Institute of Postgraduate Medical Education & Research, Kolkata",Kolkata,Govt,150,1775
West Bengal,"IQ-City Medical College, Burdwan",Burdwan,Trust,0,322
West Bengal,"KPC Medical College,Jadavpur, Kolkata",Kolkata,Trust,150,750
West Bengal,"Malda Medical College & Hospital, Malda",Malda,Govt,100,750
West Bengal,"Medical College, Kolkata",Kolkata,Govt,250,2010
West Bengal,"Midnapore Medical College, Midnapore",Midnapore,Govt,150,740
West Bengal,"Murshidabad Medical College & Hospitals, Murshidabad",Murshidabad,Govt,100,820
West Bengal,"Nilratan Sircar Medical College, Kolkata",Kolkata,Govt,250,1890
West Bengal,"North Bengal Medical College, Darjeeling Siliguri",Siliguri,Govt,150,599
West Bengal,"RG Kar Medical College, Kolkata",Kolkata,Govt,200,1210
